,word,muslim,christian,jewish,hindu,buddhist,atheist,muslim+,christian+,jewish+,hindu+,buddhist+,atheist+,variance,total
0,angkor,0.0,0.0,0.0,0.0,0.535317610106992,0.0,-0.08921960168449866,-0.08921960168449866,-0.08921960168449866,-0.08921960168449866,0.4460980084224933,-0.08921960168449866,1.1970065657519624,0.535317610106992
1,khmer,0.0,0.0,0.0,0.0,0.3057212105708219,0.0,-0.05095353509513698,-0.05095353509513698,-0.05095353509513698,-0.05095353509513698,0.2547676754756849,-0.05095353509513698,0.6836134089998851,0.3057212105708219
2,vietnam,0.005549405117228443,0.0,0.0,0.0,0.29585656508316416,0.0,-0.04468492324950366,-0.050234328366732105,-0.050234328366732105,-0.050234328366732105,0.24562223671643205,-0.050234328366732105,0.6715237438019027,0.3014059702003926
3,jinnah,0.0,0.0,0.0,0.2675596117549424,0.0,0.0,-0.04459326862582374,-0.04459326862582374,-0.04459326862582374,0.22296634312911867,-0.04459326862582374,-0.04459326862582374,0.598281479917503,0.2675596117549424
4,kingdom,0.0,0.0017877213472333568,0.026991083994753157,0.0,0.23080087839345598,0.0,-0.04326328062257375,-0.04147555927534039,-0.016272196627820593,-0.04326328062257375,0.18753759777088222,-0.04326328062257375,0.5687945225323353,0.2595796837354425
5,hindu,0.0,0.0,0.0,0.1763527057174708,0.07637734628955421,0.008765566389070842,-0.043582603066015975,-0.043582603066015975,-0.043582603066015975,0.13277010265145484,0.03279474322353824,-0.034817036676945134,0.5572525861363542,0.26149561839609586
6,dress,0.0,0.0,0.0,0.24390953916533362,0.0,0.0025492263844135413,-0.04107646092495786,-0.04107646092495786,-0.04107646092495786,0.20283307824037575,-0.04107646092495786,-0.03852723454054432,0.5499691394216819,0.24645876554974716
7,temples,0.0,0.005694449306914978,0.0,0.0,0.24029800656838243,0.0008996948401250992,-0.04114869178590375,-0.035454242478988776,-0.04114869178590375,-0.04114869178590375,0.1991493147824787,-0.04024899694577865,0.549180575497714,0.2468921507154225
8,ul,0.0,0.0,0.0,0.23529997352438675,0.0,0.0,-0.039216662254064456,-0.039216662254064456,-0.039216662254064456,0.1960833112703223,-0.039216662254064456,-0.039216662254064456,0.5261467359044295,0.23529997352438675
9,eugenics,0.0,0.0,0.2352171888263419,0.0,0.0,0.0,-0.039202864804390315,-0.039202864804390315,0.1960143240219516,-0.039202864804390315,-0.039202864804390315,-0.039202864804390315,0.5259616236921044,0.2352171888263419
10,king,0.0,0.11331184898064345,0.02342436861517311,0.0,0.10015093971855685,0.005540183506843604,-0.04040455680353617,0.07290729217710729,-0.016980188188363058,-0.04040455680353617,0.05974638291502068,-0.03486437329669256,0.5084616434253593,0.242427340821217
11,rabbah,0.0,0.0,0.2253704129890385,0.0,0.0,0.0,-0.037561735498173085,-0.037561735498173085,0.18780867749086544,-0.037561735498173085,-0.037561735498173085,-0.037561735498173085,0.5039435635606916,0.2253704129890385
12,groom,0.0,0.0,0.0,0.2184049875890627,0.0,0.0,-0.03640083126484379,-0.03640083126484379,-0.03640083126484379,0.18200415632421893,-0.03640083126484379,-0.03640083126484379,0.48836839887414213,0.2184049875890627
