,word,muslim,christian,jewish,hindu,buddhist,atheist,muslim+,christian+,jewish+,hindu+,buddhist+,atheist+,variance,total
0,god,0.01793825561640874,0.034477511015685955,0.018777663008010547,0.0192042533605956,0.010953039694550208,0.09532335039424178,-0.014840756565173401,0.0016984988341038135,-0.014001349173571594,-0.013574758820986542,-0.021825972487031935,0.06254433821265964,0.4076287012306116,0.19667407308949283
1,essay,0.033679142722753824,0.0435245374291198,0.043152989718580205,0.03572150013547284,0.023792942982243343,0.0037042103200163137,0.0030832555047227705,0.012928650211088744,0.012557102500549151,0.005125612917441784,-0.0068029442357877105,-0.02689167689801474,0.3762263929168323,0.18357532330818632
2,religion,0.025014786035718654,0.021118166138806873,0.015551113647211663,0.02500089358747948,0.019001283426681472,0.0453773524224141,-0.00016247984066672036,-0.004059099737578502,-0.009626152229173712,-0.0001763722889058933,-0.006175982449703903,0.020200086546028725,0.3092565123186863,0.15106359525831226
3,hindu,0.013345756961313614,0.0035150514680605425,0.001723870954338842,0.08922220705575157,0.017265962656262495,0.003907305456987133,-0.008150935464138752,-0.017981640957391822,-0.019772821471113523,0.0677255146302992,-0.0042307297691898706,-0.017589386968465234,0.2738812522879395,0.1289801545527142
4,jewish,0.006110674534194297,0.006863713870914701,0.08904342839571894,0.0015520152162078824,0.003304446999372277,0.011787785390654715,-0.013666336200316175,-0.012913296863595769,0.06926641766120847,-0.01822499551830259,-0.016472563735138192,-0.007989225343855755,0.25394527988295235,0.11866206440706283
5,india,0.02633254433456682,0.0040935622875115695,0.0030615496661125507,0.05739492559799867,0.020162868910249637,0.004677072376267245,0.007045457139115738,-0.015193524907939515,-0.016225537529338533,0.038107838402547584,0.0008757817147985528,-0.01461001481918384,0.24085044421928448,0.1157225231727065
6,religious,0.01724395383091404,0.0155627916746953,0.011888782173795413,0.0158075192094477,0.014531019155192601,0.03937169259043006,-0.0018236726081651451,-0.0035048347643838827,-0.007178844265283771,-0.003260107229631482,-0.0045366072838865824,0.020304066151350875,0.2346204730274165,0.11440575863447511
7,buddhist,0.0027861524079085347,0.001523336333574844,0.0008835666179788218,0.0085743445118368,0.09019671894505601,0.0035367826198026836,-0.015130664498117749,-0.01639348057245144,-0.01703325028804746,-0.009342472394189484,0.07227990203902973,-0.0143800342862236,0.23336262650797468,0.1075009014361577
8,muslim,0.07390581769486752,0.005193517439286979,0.005758422846993305,0.012347461212557587,0.004453877043374303,0.006933651015754583,0.05580702648606181,-0.012905273769518732,-0.012340368361812407,-0.005751329996248125,-0.01364491416543141,-0.011165140193051128,0.2300263317653375,0.10859274725283427
9,buddhism,0.003158045617389915,0.003119068474831416,0.0016740696162845766,0.02112755144054479,0.07247128545129325,0.005597326891798611,-0.014699845631300511,-0.01473882277385901,-0.01618382163240585,0.003269660191854363,0.05461339420260282,-0.012260564356891816,0.22732028365486767,0.10714734749214255
10,world,0.019170740866461665,0.014295505544567641,0.019802299517672785,0.013158687845141372,0.016711150366791015,0.022987548549228225,0.0014830854181512136,-0.0033921499037428103,0.002114644069362334,-0.004528967603169079,-0.0009765050815194361,0.005299893100917774,0.2167849284618167,0.10612593268986271
11,people,0.019632616453990944,0.015218242118838403,0.019347768380670118,0.013527637776175536,0.013324636109346895,0.02502381836979877,0.0019534965858541663,-0.0024608777492983753,0.0016686485125333404,-0.004151482091961242,-0.004354483758789883,0.007344698501661993,0.21676136482617087,0.10607471920882067
